2510		APUPAL	Apus pallidus	Vaaleakiitäjä	Blek tornseglare	Pallid Swift
2520		Lahko	Strigiformes	Pöllölinnut				
2530		TYTALB	Tyto alba	Tornipöllö	Tornuggla	Western Barn Owl
2540		AEGFUN	Aegolius funereus	Helmipöllö	Pärluggla	Boreal Owl
2550		ATHNOC	Athene noctua	Minervanpöllö	Minervauggla	Little Owl
2560		SURULU	Surnia ulula	Hiiripöllö	Hökuggla	Northern Hawk-Owl
2570		GLAPAS	Glaucidium passerinum	Varpuspöllö	Sparvuggla	Eurasian Pygmy Owl
2580		OTUSCO	Otus scops	Kyläpöllönen	Dvärguv	Eurasian Scops Owl
2590		ASIFLA	Asio flammeus	Suopöllö	Jorduggla	Short-eared Owl
2600		ASIOTU	Asio otus	Sarvipöllö	Hornuggla	Long-eared Owl
2610		BUBSCA	Bubo scandiacus	Tunturipöllö	Fjälluggla	Snowy Owl
2620		BUBBUB	Bubo bubo	Huuhkaja	Berguv	Eurasian Eagle-Owl
2630		STRALU	Strix aluco	Lehtopöllö	Kattuggla	Tawny Owl
2640		STRURA	Strix uralensis	Viirupöllö	Slaguggla	Ural Owl
2650		STRNEB	Strix nebulosa	Lapinpöllö	Lappuggla	Great Grey Owl
2660		Lahko	Accipitriformes	Päiväpetolinnut				
2670		PANHAL	Pandion haliaetus	Sääksi	Fiskgjuse	Osprey
2680		NEOPER	Neophron percnopterus	Pikkukorppikotka	Smutsgam	Egyptian Vulture
2690		PERAPI	Pernis apivorus	Mehiläishaukka	Bivråk	European Honey Buzzard
2700		PERPTI	Pernis ptilorhynchus	Idänmehiläishaukka	Tofsbivråk	Crested Honey Buzzard
2710		AEGMON	Aegypius monachus	Munkkikorppikotka	Grågam	Cinereous Vulture
2720		GYPFUL	Gyps fulvus	Hanhikorppikotka	Gåsgam	Griffon Vulture
2730		CIRGAL	Circaetus gallicus	Käärmekotka	Ormörn	Short-toed Snake Eagle
2740		CLACLA	Clanga clanga	Kiljukotka	Större skrikörn	Greater Spotted Eagle
2750		CLAPOM	Clanga pomarina	Pikkukiljukotka	Mindre skrikörn	Lesser Spotted Eagle
2760		HIEPEN	Hieraaetus pennatus	Pikkukotka	Dvärgörn	Booted Eagle
2770		AQUNIP	Aquila nipalensis	Arokotka	Stäppörn	Steppe Eagle
2780		AQUHEL	Aquila heliaca	Keisarikotka	Kejsarörn	Eastern Imperial Eagle
